,speaker_id,first_name,last_name,job_title,bio,company_name
0,abdba782-7d28-4b80-97c7-7d713309f29c,Tedros,Adhanom Ghebreyesus,Director-General,Tedros is an Ethiopian microbiologist and internationally recognized malaria researcher who has served since 2017 as director-general of the World Health Organization.,World Health Organization
1,9c074bab-6546-4b7a-88fc-4e5b4c393f10,Arianna,Huffington,Founder & CEO,"Arianna is the founder of the Huffington Post, and founder and CEO of Thrive Global. She has authored 15 books, including Thrive and The Sleep Revolution.",Thrive Global
2,4766fa16-31a5-4250-b7de-072a4020fab6,Justin,Trudeau,Prime Minister,"Prime Minister Justin Trudeau is a teacher, father, feminist, and an advocate for youth & the middle class. In 2008, he was elected as the Liberal Member of Parliament for the Montréal riding of Papineau. He was sworn in as Prime Minister on Nov. 4, 2015.",Government of Canada
3,748068ad-1a2f-4ca1-8b72-c0befa005420,Parag,Agrawal,CTO,"Parag is the CTO of Twitter. He first joined the company in 2011 as a software engineer, having previously worked on research internships at AT&T, Microsoft and Yahoo!.",Twitter
4,8f808c1a-3266-4364-9daa-fc839a0c5bf4,Dawn,Ostroff,Chief Content & Advertising Business Officer,"Dawn is Spotify's chief content officer. She is responsible for overseeing global content and distribution operations – including all original content, and industry and creator relationships – as well as managing the advertising sales business.",Spotify
5,1be0b616-3a08-4820-b4ca-d807612aed30,Margaret,Atwood,Author,"Margaret is author of more than 50 books of fiction, poetry, critical essays and graphic novels. Her latest novel, The Testaments – sequel to award-winning novel and TV series The Handmaid's Tale – is co-winner of the 2019 Booker Prize. Photo: Luis Mora.",
6,fd00b273-ba0d-4692-a832-05f994570286,Cal,Henderson,Co-founder & CTO,"Cal is the co-founder and CTO of Slack. He oversees Slack's world-class engineering team and sets the technical vision for the company. He is an experienced technology leader, having previously built and led the engineering team at Flickr.",Slack
7,2806c24e-98ee-4197-963b-7fdbce77be91,Renata,Quintini,Founder,"Renata is a founder of Renegade Partners, and was previously a partner at Lux Capital and Felicis Ventures. She's worked with startups such as Planet, Cruise Automation (acquired by GM), Dollar Shave Club (acquired by Unilever) and Bonobos.",Renegade Partners
8,85ec76ea-7b1e-446d-90ef-f3d0693c185b,Shaquille,O'Neal,Investor,Shaq is considered one of the greatest players in NBA history. He will speak alongside Steady CEO Adam Roseman to discuss how workers can access programs designed to ease the crisis facing millions of gig economy and hourly workers.,Steady
9,4c75efd6-8bd7-4004-ac5c-8dd416c9f385,Brad,Smith,President,"Brad is Microsoft's president and chief legal officer, leading work on a wide range of issues, including cybersecurity, privacy, ethics and artificial intelligence, human rights, immigration, philanthropy, and environmental sustainability.",Microsoft
10,bfeb0595-fcdc-4b8c-86aa-134d62776b33,Kate,Brandt,Google Sustainability Officer,"Kate leads sustainability across Google’s worldwide operations, products and supply chain. In this role, she partners with various Google teams to ensure the company is capitalizing on opportunities to strategically advance sustainability.",Google
11,30cd6cc7-885c-4a31-acab-ec929da7c2f2,David,Remnick,Editor,"David has been the editor of the New Yorker since 1998, and a staff writer since 1992. Under his leadership, the New Yorker has become the country’s most honoured magazine, winning 48 National Magazine Awards and four Pulitzer Prizes, among others.",The New Yorker
12,ba74a3a1-7c71-42ce-af70-ea635e99947a,Johanna,Faries,Commissioner of the Call of Duty League,"Johanna Faries serves as commissioner of the Call of Duty League, overseeing league and business operations, product development, and corporate strategy for Call of Duty’s presence across the global esports landscape. ",Activision Blizzard
13,248fdbea-45df-4792-8bcf-7954953e9265,Patrik,Frisk,CEO,"Patrik was appointed CEO and president of Under Armour in January 2020, after joining the brand as president and COO in July 2017.",Under Armour
14,0d92b81a-e436-442f-9bc1-50a16d2a6b75,Jessica,Lessin,"Founder, CEO & Editor-in-chief","Jessica is the founder and CEO of subscription-based digital media company The Information, and is the publication’s editor-in-chief. She has a background in tech reporting at the Wall Street Journal. ",The Information
15,4def8d66-d5e3-44d0-a05b-6183db8aa840,John,Tory,Mayor,"John was elected mayor of Toronto in 2014, and re-elected four years later. Under his leadership, Toronto has attracted significant investment and emerged as an undisputed global centre of innovation, technology and opportunity.","City of Toronto, Canada"
16,5c10b8f7-adb1-4af7-a0f4-280062220ba0,Susan,Herman,President,"Susan is president of the ACLU. She holds a chair as centennial professor of law at Brooklyn Law School, where she teaches constitutional law, criminal procedure, and a new seminar entitled 'Covid-19 and the Constitution'.",ACLU
17,f9247cb8-ed3e-465a-b26e-ae72766c4c22,Rob,Gronkowski,Founder,"Rob, nicknamed Gronk, is an American football tight-end for the NFL's Tampa Bay Buccaneers. He previously played nine seasons for the New England Patriots.",The Gronk
18,3c9f2368-bbfb-4ae2-986b-ce4612066a7b,David,Eun,President / Chief Innovation Officer,"David is president of Samsung NEXT and chief innovation officer at Samsung Electronics. He is focused on developing and scaling software and services, and on the long-term consumer and technology trends that will impact people and businesses globally.",Samsung NEXT / Samsung Electronics
19,0ea523a6-7392-437a-8316-5d0d5cefc6d7,Greg,Peters,Chief Product Officer,"Greg is the chief product officer at Netflix and leads the product team, which designs, builds and optimizes the Netflix experience.",Netflix
20,bfc55d22-02bd-4013-872f-ab5fe9b606c9,Miki,Toliver King,CMO,"Miki is CMO at the Washington Post, where she oversees subscription and new-product marketing, branding and business development.",The Washington Post
21,84aa01ff-6c55-4502-8270-ad03c8fa9119,Nicole,Quinn,Partner,"Nicole is an investor at Lightspeed Venture Partners, focused on early-stage consumer tech companies. She has invested in companies such as Zola, Rothy’s, Daily Harvest, Dote, Brandable, Girlboss and Goop.",Lightspeed Venture Partners
22,06e87222-2e8a-4f79-81df-31cc1d6faef6,Andrew,Yang,Founder,"Former presidential candidate and the founder of Humanity Forward, an organization built to legitimize the vision and ideas of his campaign. Humanity Forward’s vision is to foster ​a human-centred US that measures each person for their intrinsic value.",Humanity Forward
23,827dc338-5bc2-48ea-86a4-5a5945f93295,Patrice,Harris,President,Patrice Harris is an American psychiatrist and the first African American woman to be elected president of the American Medical Association. She was elected as the 174th president in June 2019.,American Medical Association
